alpha_deg,CL,CD
-1.3999999999999986,0.2093078629868274,0.0019359595120325072
-1.1999999999999993,0.22568910642055934,0.0022267172651422593
-1.0,0.24206600000000003,0.0025390000000000005
-0.7999999999999972,0.25843813638079877,0.002872793611711433
-0.5999999999999979,0.2748050654172462,0.003228093118528557
-0.3999999999999986,0.2911663262632944,0.003604895819489967
-0.1999999999999993,0.30752145807289505,0.0040031990136342515
0.0,0.32387000000000005,0.004423
0.20000000000000284,0.34021150134427003,0.004864285059373801
0.40000000000000213,0.3565455519882005,0.005326996399534174
0.6000000000000014,0.3728717519599959,0.005811065210007647
0.8000000000000007,0.38918970128786096,0.006316422680320748
1.0,0.405499,0.006843
1.2000000000000028,0.4217992422421223,0.007390730150793403
1.4000000000000021,0.4380899986299532,0.007959553283334787
1.6000000000000014,0.45437083389672295,0.00854941134047947
1.8000000000000007,0.47064131277566185,0.00916024626508277
2.0,0.48690100000000003,0.009792000000000002
2.200000000000003,0.5031494656872421,0.010444618337452638
2.400000000000002,0.5193863014919883,0.011118062467126731
2.6000000000000014,0.5356111044531134,0.011812297428074508
2.8000000000000007,0.5518234716094923,0.012527288259348193
3.0,0.568023,0.013263000000000004
3.200000000000003,0.5842092870089107,0.014019380499396104
3.400000000000002,0.6003819314020954,0.014796308848158352
3.6000000000000014,0.6165405322908247,0.01559364694722255
3.8000000000000007,0.6326846887863695,0.0164112566975245
4.0,0.6488140000000001,0.017249
4.200000000000003,0.6649280582771163,0.01810675566496301
4.400000000000002,0.6810264288996318,0.018984470140239934
4.600000000000001,0.6971086703835893,0.01988210678303536
4.800000000000001,0.7131743412450311,0.020799628950553855
5.0,0.729223,0.021737000000000003
5.200000000000003,0.7452542158826252,0.02269416484075194
5.400000000000002,0.761267600999379,0.023670994590881993
5.600000000000001,0.77726277817482,0.024667341920636087
5.800000000000001,0.7932393702335075,0.02568305950026012
6.0,0.8091970000000002,0.026718
6.200000000000003,0.8251352861923842,0.027772024972029314
6.400000000000002,0.8410538311028544,0.028845031496232167
6.600000000000001,0.8569522329171324,0.029936925534420372
6.800000000000001,0.8728300898209402,0.03104761304840572
7.0,0.888687,0.032177
7.200000000000003,0.9045225673478393,0.03332498327113089
7.400000000000002,0.9203364185892056,0.03449142342418942
7.600000000000001,0.9361281861566519,0.035676171941682495
7.800000000000001,0.9518975024827325,0.03687908030611706
8.0,0.967644,0.0381
8.200000000000003,0.98336730041626,0.03933878594344722
8.400000000000002,0.9990669825403253,0.04059530680701027
8.600000000000001,1.0147426144562606,0.04186943469884972
8.8,1.0303937642481305,0.04316104172712612
9.0,1.04602,0.04447000000000001
9.200000000000003,1.0616209109871215,0.04579617695508036
9.400000000000002,1.077196171249495,0.04713942134776964
9.600000000000001,1.0927454760183077,0.048499577262918744
9.8,1.108268520524747,0.049876488785378564
10.0,1.123765,0.05127000000000001
10.200000000000003,1.1392345916352544,0.05267995423623148
10.400000000000002,1.154676900461696,0.054106191801911334
10.600000000000001,1.1700915134705103,0.05554855224947545
10.8,1.1854780176528832,0.05700687513135972
11.0,1.200836,0.058481000000000005
11.200000000000003,1.2161650584718615,0.059970766099993855
11.400000000000002,1.2314648349037227,0.0614760114445852
11.600000000000001,1.2467349820996532,0.0629965737391796
11.8,1.2619751528637224,0.06453229068918268
12.0,1.2771850000000002,0.066083
12.200000000000003,1.2923641824773011,0.06764853336379323
12.399999999999999,1.3075123839234155,0.06922869841974803
12.600000000000001,1.3226292941308797,0.07082329679380628
12.800000000000004,1.3377146028922298,0.0724321301119097
13.0,1.352768,0.074055
13.200000000000003,1.3677891636189363,0.07569170844483336
13.399999999999999,1.3827777254026163,0.07734205887642269
13.600000000000001,1.397733305376829,0.0790058550855954
13.800000000000004,1.4126555235673612,0.08068290086317877
14.0,1.4275440000000001,0.082373
14.200000000000003,1.4423983710469555,0.08407596085687352
14.399999999999999,1.4572183384661193,0.08579161007456124
14.600000000000001,1.4720036203618057,0.08751977886381226
14.800000000000004,1.4867539348383285,0.08926029843537553
15.0,1.5014690000000002,0.09101300000000001
15.200000000000003,1.5161485281932434,0.09277770412767276
15.399999999999999,1.5307922087329073,0.09455418882533242
15.600000000000001,1.5453997251759501,0.09634222145915577
15.800000000000004,1.5599707610793287,0.09814156939531943
16.0,1.5745050000000003,0.09995200000000001
16.200000000000003,1.589002124180073,0.1017732866324356
16.4,1.6034618106022525,0.10360522662410909
16.6,1.6178837349343962,0.10544762329956484
16.800000000000004,1.6322675728443605,0.10730027998334708
17.0,1.646613,0.109163
17.200000000000003,1.660919703086467,0.11103558134258501
17.4,1.6751874128580835,0.11291780067823122
17.6,1.6894158710864673,0.114809429342585
17.800000000000004,1.7036048195432336,0.11671023867129253
18.0,1.7177539999999998,0.11862
18.200000000000003,1.7318631514740603,0.12053848399722457
18.400000000000006,1.7459320019654134,0.12246545866296604
18.6,1.7599602767197366,0.12440069133009525
18.800000000000004,1.7739477009827074,0.12634394933148305
19.0,1.7878940000000003,0.12829499999999996
19.200000000000003,1.801798899017294,0.130253610668517
19.400000000000006,1.815662123280264,0.13221954866990476
19.6,1.8294833980345873,0.134192581337034
19.800000000000004,1.8432624485259406,0.13617247600277554
20.0,1.856999,0.138159
